trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20250826,2025-08-26,01211.HK,115.3494,120.2261,114.7522,117.0413,5.4739,3.336157358625421,3.223644588026759,127.6905,110.2736,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,95609.71345995652,0.015543614354545987,0.0,byd_h,byd,HK-share,HKEX,HKD,115.9,120.8,115.3,117.6,115.8,1.8,1.5544,39952279,,0.9952493395,115.2499,1.7914,1.5544,0,100000.0
20250827,2025-08-27,01211.HK,118.4347,118.7332,114.2546,114.5532,4.4786,3.3932794906941495,3.336157358625421,123.809,110.3731,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,93577.21272679893,-0.02125830796479533,0.0,byd_h,byd,HK-share,HKEX,HKD,119.0,119.3,114.8,115.1,117.6,-2.5,-2.1259,30644699,,0.9952493596,117.0413,-2.4881,-2.1258,0,100000.0
20250828,2025-08-28,01211.HK,113.0603,113.4584,110.4727,111.4679,4.080500000000001,3.4276405161594417,3.3932794906941495,120.2261,110.3731,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,91056.86607191725,-0.026933337523526113,0.0,byd_h,byd,HK-share,HKEX,HKD,113.6,114.0,111.0,112.0,115.1,-3.1,-2.6933,48235207,,0.9952493395,114.5532,-3.0853,-2.6933,0,100000.0
20250829,2025-08-29,01211.HK,110.8708,117.0413,110.6717,113.8565,6.3696000000000055,3.57473849035147,3.4276405161594417,120.2261,110.3731,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,93008.08638107694,0.021428590652555535,0.0,byd_h,byd,HK-share,HKEX,HKD,111.4,117.6,111.2,114.4,112.0,2.4,2.1429,46979584,,0.9952493015,111.4679,2.3886,2.1429,0,100000.0
20250901,2025-09-01,01211.HK,104.7002,108.6812,104.7002,107.885,9.156300000000002,3.8538165658338968,3.57473849035147,120.2261,110.3731,False,True,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,88130.03560817771,-0.052447598512162186,0.0,byd_h,byd,HK-share,HKEX,HKD,105.2,109.2,105.2,108.4,114.4,-6.0,-5.2448,112757617,,0.9952493647,113.8565,-5.9715,-5.2448,-1,100000.0
20250902,2025-09-02,01211.HK,107.4869,111.667,107.1884,110.2736,4.4786,3.885055737542202,3.8538165658338968,120.2261,104.7002,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,90081.2559173374,0.02214024192427111,0.0,byd_h,byd,HK-share,HKEX,HKD,108.0,112.2,107.7,110.8,108.4,2.4,2.214,56243604,,0.9952493249,107.885,2.3886,2.214,0,100000.0
20250903,2025-09-03,01211.HK,112.1646,112.1646,106.9893,107.4869,5.175299999999993,3.9495679506650916,3.885055737542202,120.2261,104.7002,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,87804.83222331776,-0.025270781039160806,0.0,byd_h,byd,HK-share,HKEX,HKD,112.7,112.7,107.5,108.0,110.8,-2.8,-2.5271,41273829,,0.9952493597,110.2736,-2.7867,-2.5271,0,100000.0
20250904,2025-09-04,01211.HK,109.2784,109.4774,103.8045,104.0036,5.6728999999999985,4.035734553131837,3.9495679506650916,120.2261,104.7002,False,True,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,84959.36387244446,-0.03240673979805919,0.0,byd_h,byd,HK-share,HKEX,HKD,109.8,110.0,104.3,104.5,108.0,-3.5,-3.2407,63818683,,0.995249333,107.4869,-3.4833,-3.2407,-1,100000.0
20250905,2025-09-05,01211.HK,104.0036,106.5912,103.705,105.0983,2.8862000000000023,3.978257825475245,4.035734553131837,120.2261,103.8045,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,85853.61191415807,0.010525597190866653,0.0,byd_h,byd,HK-share,HKEX,HKD,104.5,107.1,104.2,105.6,104.5,1.1,1.0526,64326956,,0.9952493291,104.0036,1.0947,1.0526,0,100000.0
20250908,2025-09-08,01211.HK,104.1031,105.8945,103.5059,105.0983,2.3885999999999967,3.898774934201483,3.978257825475245,120.2261,103.705,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,85853.61191415807,0.0,0.0,byd_h,byd,HK-share,HKEX,HKD,104.6,106.4,104.0,105.6,105.6,0.0,0.0,51203814,,0.9952493291,105.0983,0.0,0.0,0,100000.0
20250909,2025-09-09,01211.HK,105.1979,106.6907,104.6007,105.3969,2.0900000000000034,3.808336187491409,3.898774934201483,120.2261,103.5059,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,86097.53487502011,0.0028411496665501357,0.0,byd_h,byd,HK-share,HKEX,HKD,105.7,107.2,105.1,105.9,105.6,0.3,0.2841,29693000,,0.9952493151,105.0983,0.2986,0.2841,0,100000.0
20250910,2025-09-10,01211.HK,106.2926,107.2879,104.7002,105.0983,2.587699999999998,3.7473043781168385,3.808336187491409,120.2261,103.5059,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,85853.61191415807,-0.002833100404281197,0.0,byd_h,byd,HK-share,HKEX,HKD,106.8,107.8,105.2,105.6,105.9,-0.3,-0.2833,28735255,,0.9952493291,105.3969,-0.2986,-0.2833,0,100000.0
20250911,2025-09-11,01211.HK,105.0983,106.3922,104.2026,104.7002,2.1895999999999987,3.669419159210997,3.7473043781168385,120.2261,103.5059,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,85528.40852929812,-0.003787882392008335,0.0,byd_h,byd,HK-share,HKEX,HKD,105.6,106.9,104.7,105.2,105.6,-0.4,-0.3788,33114430,,0.9952493238,105.0983,-0.3981,-0.3788,0,100000.0
20250912,2025-09-12,01211.HK,105.1979,105.9941,104.0036,104.0036,1.9904999999999973,3.585473201250447,3.669419159210997,120.2261,103.5059,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,84959.36387244446,-0.006653282419708861,0.0,byd_h,byd,HK-share,HKEX,HKD,105.7,106.5,104.5,104.5,105.2,-0.7000000000000001,-0.6654,32036845,,0.995249333,104.7002,-0.6966,-0.6653,0,100000.0
20250915,2025-09-15,01211.HK,103.4064,108.8803,102.3116,107.5865,6.568700000000007,3.734634541187925,3.585473201250447,120.2261,103.5059,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,87886.194336184,0.034449769046456025,0.0,byd_h,byd,HK-share,HKEX,HKD,103.9,109.4,102.8,108.1,104.5,3.6,3.445,59442230,,0.9952493079,104.0036,3.5829,3.445,0,100000.0
20250916,2025-09-16,01211.HK,107.7855,110.2736,107.7855,109.3779,2.687100000000001,3.6822578141285285,3.734634541187925,120.2261,102.3116,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,89349.5687236196,0.016650787970609704,0.0,byd_h,byd,HK-share,HKEX,HKD,108.3,110.8,108.3,109.9,108.1,1.8,1.6651,34109443,,0.9952493656,107.5865,1.7914,1.6651,0,100000.0
