trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20251218,2025-12-18,00981.HK,64.0,65.6,63.65,64.7,1.9499999999999957,3.331869340661136,3.404599305959091,75.25,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,126614.48140900195,-0.0007722007722007485,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,64.0,65.6,63.65,64.7,64.75,-0.05,-0.0772,39415584,,1,64.75,-0.05,-0.0772,0,107211.70421105789
20251219,2025-12-19,00981.HK,65.45,66.15,64.8,65.05,1.4500000000000028,3.2377758736280797,3.331869340661136,72.9,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,127299.41291585127,0.005409582689335446,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,65.45,66.15,64.8,65.05,64.7,0.35,0.541,39163474,,1,64.7,0.35,0.541,0,107211.70421105789
20251222,2025-12-22,00981.HK,66.0,70.45,65.95,68.9,5.400000000000006,3.345887079946676,3.2377758736280797,72.9,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,134833.65949119374,0.05918524212144516,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,66.0,70.45,65.95,68.9,65.05,3.85,5.9185,91315684,,1,65.05,3.85,5.9185,0,107211.70421105789
20251223,2025-12-23,00981.HK,69.5,70.35,68.3,68.9,2.049999999999997,3.2810927259493416,3.345887079946676,72.9,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,134833.65949119374,0.0,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,69.5,70.35,68.3,68.9,68.9,0.0,0.0,49966498,,1,68.9,0.0,0.0,0,107211.70421105789
20251224,2025-12-24,00981.HK,70.95,70.95,70.95,70.95,2.049999999999997,3.2195380896518744,3.2810927259493416,72.9,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,138845.4011741683,0.029753265602322276,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,70.95,70.95,70.95,70.95,68.9,2.05,2.9753,0,,1,68.9,2.05,2.9753,0,107211.70421105789
20251229,2025-12-29,00981.HK,71.5,73.7,69.55,69.55,4.150000000000006,3.2660611851692805,3.2195380896518744,72.9,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,136105.67514677104,-0.019732205778717482,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,71.5,73.7,69.55,69.55,70.95,-1.4,-1.9732,77352135,,1,70.95,-1.4,-1.9732,0,107211.70421105789
20251230,2025-12-30,00981.HK,71.5,73.15,70.45,72.5,3.6000000000000085,3.282758125910817,3.2660611851692805,73.7,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,141878.66927592954,0.0424155283968366,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,71.5,73.15,70.45,72.5,69.55,2.95,4.2415,93554254,,1,69.55,2.95,4.2416,0,107211.70421105789
20251231,2025-12-31,00981.HK,71.35,71.35,71.35,71.35,1.1500000000000057,3.1761202196152767,3.282758125910817,73.7,62.0,False,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,139628.1800391389,-0.01586206896551745,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,71.35,71.35,71.35,71.35,72.5,-1.15,-1.5862,0,,1,72.5,-1.15,-1.5862,0,107211.70421105789
20260102,2026-01-02,00981.HK,71.45,75.4,70.8,75.1,4.6000000000000085,3.2473142086345135,3.1761202196152767,73.7,62.0,True,False,False,,0,0,0.0,102873.59389321359,HOLD,,,,,0.0,0.0,0.0,102873.59389321359,0.0,146966.73189823874,0.052557813594954705,-0.04046302919785938,smic_h,smic,HK-share,HKEX,HKD,71.45,75.4,70.8,75.1,71.35,3.75,5.2558,40669802,,1,71.35,3.75,5.2558,1,107211.70421105789
20260105,2026-01-05,00981.HK,75.8,78.3,75.05,76.5,3.25,3.2474484982027874,3.2473142086345135,75.4,63.05,True,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,BUY,20-day high breakout,2026-01-02,2026-01-05,75.83789999999999,12281.83567821492,12.28183567821492,6.137848914650135,102968.53817274356,0.0009229217716308913,149706.457925636,0.018641810918774926,-0.03957745163682125,smic_h,smic,HK-share,HKEX,HKD,75.8,78.3,75.05,76.5,75.1,1.4,1.8642,129977658,,1,75.1,1.4,1.8642,1,107211.70421105789
